frame_id,N_i,V2_i,V3_i,T_i,M2_i,M3_i,N_j,V2_j,V3_j,T_j,M2_j,M3_j
1,88.2599,20.0061,-20.0061,-7.52136e-16,26.6223,26.6223,-88.2599,-20.0061,20.0061,7.52136e-16,53.4019,53.4019
2,88.2599,20.0061,20.0061,-1.96829e-15,-26.6223,26.6223,-88.2599,-20.0061,-20.0061,1.96829e-15,-53.4019,53.4019
3,88.2598,-20.0061,20.0061,-6.71358e-16,-26.6223,-26.6223,-88.2598,20.0061,-20.0061,6.71358e-16,-53.4019,-53.4019
4,88.2598,-20.0061,-20.0061,-2.16178e-15,26.6223,-26.6223,-88.2598,20.0061,20.0061,2.16178e-15,53.4019,-53.4019
5,12.0556,0.483943,43.6739,22.7684,-29.362,0.3867,-12.0556,-0.483943,-43.6739,-22.7684,-23.0467,0.194032
6,8.65219,-0.162096,27.5487,14.5773,23.6235,-0.1939,-8.65219,0.162096,-27.5487,-14.5773,-56.682,-0.00061583
7,7.7292,-1.82284e-17,3.40471e-14,1.02323e-14,56.7694,0.000615409,-7.7292,1.82284e-17,-3.40471e-14,-1.02323e-14,-56.7694,-0.000615409
8,8.65219,0.162096,-27.5487,-14.5773,56.682,0.00061583,-8.65219,-0.162096,27.5487,14.5773,-23.6235,0.1939
9,12.0556,-0.483943,-43.6739,-22.7684,23.0467,-0.194032,-12.0556,0.483943,43.6739,22.7684,29.362,-0.3867
10,12.0556,0.483943,43.6739,22.7684,-29.362,0.3867,-12.0556,-0.483943,-43.6739,-22.7684,-23.0467,0.194032
11,8.65219,-0.162096,27.5487,14.5773,23.6235,-0.1939,-8.65219,0.162096,-27.5487,-14.5773,-56.682,-0.00061583
12,7.7292,-1.89079e-18,4.34276e-13,3.45523e-14,56.7694,0.000615409,-7.7292,1.89079e-18,-4.34276e-13,-3.45523e-14,-56.7694,-0.000615409
13,8.65219,0.162096,-27.5487,-14.5773,56.682,0.00061583,-8.65219,-0.162096,27.5487,14.5773,-23.6235,0.1939
14,12.0556,-0.483943,-43.6739,-22.7684,23.0467,-0.194032,-12.0556,0.483943,43.6739,22.7684,29.362,-0.3867
15,12.0556,-0.483943,43.6739,-22.7684,-29.362,-0.3867,-12.0556,0.483943,-43.6739,22.7684,-23.0467,-0.194032
16,8.65219,0.162096,27.5487,-14.5773,23.6235,0.1939,-8.65219,-0.162096,-27.5487,14.5773,-56.682,0.00061583
17,7.7292,-4.10136e-17,1.0321e-14,-1.50944e-15,56.7694,-0.000615409,-7.7292,4.10136e-17,-1.0321e-14,1.50944e-15,-56.7694,0.000615409
18,8.65219,-0.162096,-27.5487,14.5773,56.682,-0.00061583,-8.65219,0.162096,27.5487,-14.5773,-23.6235,-0.1939
19,12.0556,0.483943,-43.6739,22.7684,23.0467,0.194032,-12.0556,-0.483943,43.6739,-22.7684,29.362,0.3867
20,12.0556,-0.483943,43.6739,-22.7684,-29.362,-0.3867,-12.0556,0.483943,-43.6739,22.7684,-23.0467,-0.194032
21,8.65219,0.162096,27.5487,-14.5773,23.6235,0.1939,-8.65219,-0.162096,-27.5487,14.5773,-56.682,0.00061583
22,7.7292,-2.01918e-16,-9.06339e-14,-1.04921e-14,56.7694,-0.000615409,-7.7292,2.01918e-16,9.06339e-14,1.04921e-14,-56.7694,0.000615409
23,8.65219,-0.162096,-27.5487,14.5773,56.682,-0.00061583,-8.65219,0.162096,27.5487,-14.5773,-23.6235,-0.1939
24,12.0556,0.483943,-43.6739,22.7684,23.0467,0.194032,-12.0556,-0.483943,43.6739,-22.7684,29.362,0.3867
