cell_id,Mxx,Myy,Mxy,Mmax,Mmin,Fxx,Fyy,V13,V23,Vmax,vonMises
1,-1.46142,-1.46142,-2.25101,0.789595,-3.71243,-5.20559,-5.20559,-213.504,-213.504,301.94,2517
2,1.59631,-3.06667,-2.0058,2.34038,-3.81074,-4.95741,-1.03923,-65.2019,-517.387,521.479,3205.38
3,2.20691,-4.07642,-1.3097e-15,2.20691,-4.07642,-4.78745,-0.761112,2.8065e-13,-665.997,665.997,3283.23
4,1.59631,-3.06667,2.0058,2.34038,-3.81074,-4.95741,-1.03923,65.2019,-517.387,521.479,3205.38
5,-1.46142,-1.46142,2.25101,0.789595,-3.71243,-5.20559,-5.20559,213.504,-213.504,301.94,2517
6,-3.06667,1.59631,-2.0058,2.34038,-3.81074,-1.03923,-4.95741,-517.387,-65.2019,521.479,3205.38
7,5.35932,5.35932,-1.96636,7.32569,3.39296,-3.3262,-3.3262,-141.609,-141.609,200.266,3781.95
8,7.28805,6.68398,-2.8065e-15,7.28805,6.68398,-3.82479,-2.35587,7.48401e-13,-189.546,189.546,4171.59
9,5.35932,5.35932,1.96636,7.32569,3.39296,-3.3262,-3.3262,141.609,-141.609,200.266,3781.95
10,-3.06667,1.59631,2.0058,2.34038,-3.81074,-1.03923,-4.95741,517.387,-65.2019,521.479,3205.38
11,-4.07642,2.20691,-2.2452e-15,2.20691,-4.07642,-0.761112,-4.78745,-665.997,-2.45569e-13,665.997,3283.23
12,6.68398,7.28805,-2.9936e-15,7.28805,6.68398,-2.35587,-3.82479,-189.546,-1.35648e-12,189.546,4171.59
13,9.21497,9.21497,-5.613e-16,9.21497,9.21497,-3.23695,-3.23695,-2.8065e-13,-1.40325e-12,1.43104e-12,5496.61
14,6.68398,7.28805,3.742e-15,7.28805,6.68398,-2.35587,-3.82479,189.546,-9.35501e-13,189.546,4171.59
15,-4.07642,2.20691,3.742e-15,2.20691,-4.07642,-0.761112,-4.78745,665.997,-1.07583e-12,665.997,3283.23
16,-3.06667,1.59631,2.0058,2.34038,-3.81074,-1.03923,-4.95741,-517.387,65.2019,521.479,3205.38
17,5.35932,5.35932,1.96636,7.32569,3.39296,-3.3262,-3.3262,-141.609,141.609,200.266,3781.95
18,7.28805,6.68398,-2.2452e-15,7.28805,6.68398,-3.82479,-2.35587,-9.35501e-13,189.546,189.546,4171.59
19,5.35932,5.35932,-1.96636,7.32569,3.39296,-3.3262,-3.3262,141.609,141.609,200.266,3781.95
20,-3.06667,1.59631,-2.0058,2.34038,-3.81074,-1.03923,-4.95741,517.387,65.2019,521.479,3205.38
21,-1.46142,-1.46142,2.25101,0.789595,-3.71243,-5.20559,-5.20559,-213.504,213.504,301.94,2517
22,1.59631,-3.06667,2.0058,2.34038,-3.81074,-4.95741,-1.03923,-65.2019,517.387,521.479,3205.38
23,2.20691,-4.07642,1.871e-15,2.20691,-4.07642,-4.78745,-0.761112,-3.62507e-13,665.997,665.997,3283.23
24,1.59631,-3.06667,-2.0058,2.34038,-3.81074,-4.95741,-1.03923,65.2019,517.387,521.479,3205.38
25,-1.46142,-1.46142,-2.25101,0.789595,-3.71243,-5.20559,-5.20559,213.504,213.504,301.94,2517
