frame_id,N_i,V2_i,V3_i,T_i,M2_i,M3_i,N_j,V2_j,V3_j,T_j,M2_j,M3_j
1,71.8562,-0.381281,-30.2692,-0.0702898,40.2428,-0.468465,-71.8562,0.381281,30.2692,0.0702898,80.8341,-1.05666
2,71.8562,-0.381281,30.2692,0.0702898,-40.2428,-0.468465,-71.8562,0.381281,-30.2692,-0.0702898,-80.8341,-1.05666
3,20.0607,-0.275743,69.1968,-0.779687,-76.9167,-0.071671,-20.0607,0.275743,-69.1968,0.779687,7.71984,-0.204072
4,16.6574,0.189212,48.8095,-4.52617,-8.34712,0.202034,-16.6574,-0.189212,-48.8095,4.52617,-40.4624,-0.0128216
5,14.6252,-0.0194332,32.2407,-6.31556,40.2494,0.0119596,-14.6252,0.0194332,-32.2407,6.31556,-72.4901,-0.0313929
6,13.6997,0.00331838,18.4348,-5.07446,72.3912,0.0307682,-13.6997,-0.00331838,-18.4348,5.07446,-90.826,-0.0274498
7,13.389,-0.0016263,5.9974,-1.90888,90.7773,0.0271438,-13.389,0.0016263,-5.9974,1.90888,-96.7747,-0.0287701
8,13.389,0.0016263,-5.9974,1.90888,96.7747,0.0287701,-13.389,-0.0016263,5.9974,-1.90888,-90.7773,-0.0271438
9,13.6997,-0.00331838,-18.4348,5.07446,90.826,0.0274498,-13.6997,0.00331838,18.4348,-5.07446,-72.3912,-0.0307682
10,14.6252,0.0194332,-32.2407,6.31556,72.4901,0.0313929,-14.6252,-0.0194332,32.2407,-6.31556,-40.2494,-0.0119596
11,16.6574,-0.189212,-48.8095,4.52617,40.4624,0.0128216,-16.6574,0.189212,48.8095,-4.52617,8.34712,-0.202034
12,20.0607,0.275743,-69.1968,0.779687,-7.71984,0.204072,-20.0607,-0.275743,69.1968,-0.779687,76.9167,0.071671
