cell_id,Mxx,Myy,Mxy,Mmax,Mmin,Fxx,Fyy,V13,V23,Vmax,vonMises
1,-1.937,0.0672282,-0.553327,0.209843,-2.07961,-10.9082,2.75542,-36.7715,-9.34687,37.9409,385.432
2,3.32582,2.3988,2.00453,4.91973,0.804883,-12.247,-1.0429,-39.9902,-94.3349,102.461,658.262
3,7.91497,5.37674,2.56933,9.51153,3.78018,-12.4234,-0.795077,-29.3083,-93.2868,97.7824,1205.25
4,11.0063,7.714,1.9433,11.9069,6.81333,-12.4002,-0.354756,-16.7054,-92.5225,94.0185,1509.53
5,12.5158,8.928,0.713129,12.6524,8.79145,-12.3876,-0.181411,-5.41626,-92.0909,92.2501,1640.6
6,12.5158,8.928,-0.713129,12.6524,8.79145,-12.3876,-0.181411,5.41626,-92.0909,92.2501,1640.6
7,11.0063,7.714,-1.9433,11.9069,6.81333,-12.4002,-0.354756,16.7054,-92.5225,94.0185,1509.53
8,7.91497,5.37674,-2.56933,9.51153,3.78018,-12.4234,-0.795077,29.3083,-93.2868,97.7824,1205.25
9,3.32582,2.3988,-2.00453,4.91973,0.804883,-12.247,-1.0429,39.9902,-94.3349,102.461,658.262
10,-1.937,0.0672282,0.553327,0.209843,-2.07961,-10.9082,2.75542,36.7715,-9.34687,37.9409,385.432
11,2.19588,3.0429,3.59038,6.23466,-0.995882,0.12964,4.87538,-18.9653,-17.8822,26.0664,1025.45
12,5.90611,9.03593,4.44918,12.1874,2.75465,-3.26637,-1.51273,-20.1818,-21.3242,29.3602,1654.37
13,8.81231,12.7185,4.35494,15.5383,5.99257,-5.81403,-1.66139,-16.4598,-31.6133,35.6416,2025.79
14,10.796,14.9313,3.05673,16.554,9.17327,-7.04246,-0.89012,-10.0241,-33.7575,35.2143,2143.73
15,11.7878,16.0083,1.08755,16.272,11.5241,-7.46197,-0.429851,-3.34134,-33.2455,33.413,2163.07
16,11.7878,16.0083,-1.08755,16.272,11.5241,-7.46197,-0.429851,3.34134,-33.2455,33.413,2163.07
17,10.796,14.9313,-3.05673,16.554,9.17327,-7.04246,-0.89012,10.0241,-33.7575,35.2143,2143.73
18,8.81231,12.7185,-4.35494,15.5383,5.99257,-5.81403,-1.66139,16.4598,-31.6133,35.6416,2025.79
19,5.90611,9.03593,-4.44918,12.1874,2.75465,-3.26637,-1.51273,20.1818,-21.3242,29.3602,1654.37
20,2.19588,3.0429,-3.59038,6.23466,-0.995882,0.12964,4.87538,18.9653,-17.8822,26.0664,1025.45
21,2.39004,3.67418,8.60349,11.6595,-5.5953,0.419911,3.59974,-33.3361,6.8044,34.0234,2290.21
22,5.6676,9.30402,7.89071,15.5833,-0.61167,-0.407862,-0.756743,-7.99326,17.0494,18.8301,2383.03
23,7.20191,12.7885,6.33946,16.9228,3.06764,-1.74797,-1.35084,-5.35477,24.0557,24.6445,2338.07
24,8.18327,14.6775,4.09751,16.6585,6.20225,-2.47092,-0.752535,-4.13997,29.1052,29.3982,2183.97
25,8.69449,15.5077,1.41439,15.7896,8.41253,-2.71984,-0.358337,-1.53356,31.5178,31.5551,2050.25
26,8.69449,15.5077,-1.41439,15.7896,8.41253,-2.71984,-0.358337,1.53356,31.5178,31.5551,2050.25
27,8.18327,14.6775,-4.09751,16.6585,6.20225,-2.47092,-0.752535,4.13997,29.1052,29.3982,2183.97
28,7.20191,12.7885,-6.33946,16.9228,3.06764,-1.74797,-1.35084,5.35477,24.0557,24.6445,2338.07
29,5.6676,9.30402,-7.89071,15.5833,-0.61167,-0.407862,-0.756743,7.99326,17.0494,18.8301,2383.03
30,2.39004,3.67418,-8.60349,11.6595,-5.5953,0.419911,3.59974,33.3361,6.8044,34.0234,2290.21
31,1.05782,1.57283,12.2796,13.5976,-10.967,-3.46961,1.49468,-10.7999,18.6184,21.524,3197.35
32,2.40537,4.08722,10.442,13.7221,-7.22954,-1.3103,-0.39551,-0.403213,65.6073,65.6086,2764.49
33,2.84282,5.55555,7.74065,12.0578,-3.6594,0.721646,-0.383469,-0.793217,87.5912,87.5948,2136.14
34,3.12848,6.31608,4.77614,9.75733,-0.312761,1.72436,-0.231658,-0.673518,99.5495,99.5518,1487.06
35,3.27822,6.63971,1.61696,7.29123,2.6267,2.06945,-0.102763,-0.294006,104.399,104.399,959
36,3.27822,6.63971,-1.61696,7.29123,2.6267,2.06945,-0.102763,0.294006,104.399,104.399,959
37,3.12848,6.31608,-4.77614,9.75733,-0.312761,1.72436,-0.231658,0.673518,99.5495,99.5518,1487.06
38,2.84282,5.55555,-7.74065,12.0578,-3.6594,0.721646,-0.383469,0.793217,87.5912,87.5948,2136.14
39,2.40537,4.08722,-10.442,13.7221,-7.22954,-1.3103,-0.39551,0.403213,65.6073,65.6086,2764.49
40,1.05782,1.57283,-12.2796,13.5976,-10.967,-3.46961,1.49468,10.7999,18.6184,21.524,3197.35
